created_at,text,retweet_count,favourites_count,hashtags,url,tweets.ve,category_senti,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
2022-01-08T14:38:00Z, institutions are increasingly experimenting with  and online tactics to engage prospective students Check out our infographic to design compelling  events  ,0,472,Highered virtualevents virtualadmissions,https://twitter.com/HanoverResearch/status/1479824715455868930/photo/1, institutions are increasingly experimenting with  and online tactics to engage prospective students Check out our infographic to design compelling  events  ,Positive,0,0,0,1,0,0,0,1,0,1
2022-01-08T14:00:28Z,"Moderate your event effectively when you use the Moderated Chat as your chat type Messages are preapproved before they are seen by the chat members 

 

        ",0,53,moderatedchat qa QandA qachat chatmoderation modchat liveevent virtualevents,https://twitter.com/RumbleTalk/status/1479815270550192131/photo/1,"Moderate your event effectively when you use the Moderated Chat as your chat type Messages are preapproved before they are seen by the chat members 

 

        ",Positive,0,0,0,0,0,0,0,0,0,1
2022-01-08T13:54:48Z,"iConnectX paves the way to online auction success for nonprofits Find the tools you need to maximize support today 

         ",0,2169,OnlineAuctions TextToGive onlineeventticketing nonprofitfundraising VirtualFundraising onlinedonation VirtualEvents Nonprofits,https://twitter.com/iConnectX/status/1479813842473406464/photo/1,"iConnectX paves the way to online auction success for nonprofits Find the tools you need to maximize support today 

         ",Positive,0,2,0,0,1,0,0,0,0,1
2022-01-08T13:32:22Z,"Ultimate  has already started and you still dont know Vote for 
Go for best virtual artists now 
StarClinch ",0,33,Elections2022 virtualevents,https://twitter.com/StarClinch/status/1479808198504710145/photo/1,"Ultimate  has already started and you still dont know Vote for 
Go for best virtual artists now 
StarClinch ",Positive,1,2,0,0,1,2,1,1,1,1
2022-01-07T12:05:11Z,"Whos your best buddy in a Virtual Event
 ",0,33,VirtualEvents virtual,NA,"Whos your best buddy in a Virtual Event
 ",Positive,0,1,0,0,1,0,0,1,0,1
2022-01-06T12:14:26Z,"Precaution against  nobody gonna tell you about
TC of your   and switch to 
Book artists now at StarClinch

",2,33,Omicron Mentalhealth VirtualEvents SwasthBharatSessionOnCOVID,NA,"Precaution against  nobody gonna tell you about
TC of your   and switch to 
Book artists now at StarClinch

",Negative,0,0,0,0,0,0,0,0,0,1
2022-01-04T08:34:52Z,"Though we have a strong backup plan for our artists but still we would ask for 

    ",1,33,NoMoreLockdowns weekendcurfew Covid_19 VirtualEvents coronavirus,https://twitter.com/StarClinch/status/1478283779466678272/photo/1,"Though we have a strong backup plan for our artists but still we would ask for 

    ",Positive,0,1,0,0,0,0,0,0,0,0
2022-01-08T12:50:36Z," TRACKPODAUTO FACE TRACKING CAMERA
Price Only $

START SHOOTING VIDEOS LIKE A PRO
Trackpod helps you create the best dynamic shoots all by yourself Using AI facetracking technology keeps your phone centered on you entirely automatically   ",0,2,trackingcamera virtualevents,https://twitter.com/NicheMeraki/status/1479797685116817408/photo/1," TRACKPODAUTO FACE TRACKING CAMERA
Price Only $

START SHOOTING VIDEOS LIKE A PRO
Trackpod helps you create the best dynamic shoots all by yourself Using AI facetracking technology keeps your phone centered on you entirely automatically   ",Positive,1,1,0,1,1,0,1,0,1,2
2022-01-03T11:03:59Z,"Did you know
Business giants like Microsoft AWS Apple Google Adobe etc hosted virtual events 
Hosting a virtual event is a good option also for small businesses looking for a budgetfriendly option
So host a virtual event in 
  ",0,49,eventspipeline virtualevents,https://twitter.com/EPipeline/status/1477958914566090752/photo/1,"Did you know
Business giants like Microsoft AWS Apple Google Adobe etc hosted virtual events 
Hosting a virtual event is a good option also for small businesses looking for a budgetfriendly option
So host a virtual event in 
  ",Positive,0,1,0,0,1,0,1,1,1,2
2022-01-08T12:19:09Z,"Weekend Poll

When did the video conferencing technology debut

Take the poll and answer

      ",0,49,eventspipeline virtualevents virtualeventplatform virtualconference videoconference poll polltime,NA,"Weekend Poll

When did the video conferencing technology debut

Take the poll and answer

      ",Positive,0,0,0,0,0,0,0,1,0,1
2022-01-03T12:43:00Z,"Celebrate our Sista Im With Ya year anniversary on Jan    PM EST Register now
 

      ",1,378,CommunityConversations publichealth sisterlove virtualevents Cambridgeevents SIWY,https://twitter.com/CCSister2Sister/status/1477983833815334912/photo/1,"Celebrate our Sista Im With Ya year anniversary on Jan    PM EST Register now
 

      ",Positive,0,0,0,0,0,0,0,0,0,0
2022-01-08T12:05:00Z,"Start the new year right and attend tomorrows  Share this post to someone w someone you love 

Register via email list through here 

ccsister   ",0,378,CommunityConversations newyear virtualevents,https://twitter.com/CCSister2Sister/status/1479786210604335105/photo/1,"Start the new year right and attend tomorrows  Share this post to someone w someone you love 

Register via email list through here 

ccsister   ",Positive,0,2,0,0,2,0,0,1,0,2
2022-01-04T12:47:00Z,"Is financial literacy your New Year re$olution CCSisters event Brokeish Budgeting Financial Planning  Creating Evolving Fiscal Plans
  at  EST
Register via mail list

     ",0,378,CommunityConversations finance money buildwealth virtualevents,https://twitter.com/CCSister2Sister/status/1478347228267700224/photo/1,"Is financial literacy your New Year re$olution CCSisters event Brokeish Budgeting Financial Planning  Creating Evolving Fiscal Plans
  at  EST
Register via mail list

     ",Positive,0,2,0,0,0,0,0,1,0,1
